Distance,RSSI,SNR,Path_Loss,Temp,Humidity,Wind,Tx_Power,SF,BW,CR
0.0,-62,6.0,-0.5999999999999996,1.2566360000000003,2.513271999999999,7.2,14,0.0,125,4/5
0.0,-62,5.0,-0.5999999999999996,1.2566360000000003,2.513271999999999,7.2,14,0.0,125,4/5
0.0,-62,6.0,-0.5999999999999996,1.2566360000000003,2.513271999999999,7.2,14,0.0,125,4/5
0.0,-61,6.0,-0.6235294117647057,1.2566360000000003,2.513271999999999,7.2,14,0.0,125,4/5
0.08055358974358974,-74,6.0,-0.31764705882352917,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.08055358974358974,-77,7.0,-0.24705882352941133,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.08055358974358974,-79,6.0,-0.19999999999999973,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.08055358974358974,-77,6.0,-0.24705882352941133,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.08055358974358974,-76,6.0,-0.2705882352941176,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.08055358974358974,-76,6.0,-0.2705882352941176,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.16110717948717948,-87,7.0,-0.0117647058823529,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.16110717948717948,-79,7.0,-0.19999999999999973,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.16110717948717948,-83,7.0,-0.1058823529411761,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.16110717948717948,-86,7.0,-0.0352941176470587,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.16110717948717948,-99,6.0,0.270588235294118,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.24166076923076923,-93,7.0,0.12941176470588278,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.24166076923076923,-94,7.0,0.15294117647058858,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.24166076923076923,-91,7.0,0.08235294117647074,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.24166076923076923,-90,7.0,0.05882352941176494,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.24166076923076923,-91,7.0,0.08235294117647074,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
0.24166076923076923,-91,6.0,0.08235294117647074,0.9424770000000002,2.6389356,7.4,14,0.0,125,4/5
